,power kW
512,0.6605821328822223
513,0.8050844744502085
514,0.9186220285393405
515,0.9495868160181946
516,0.9495868160181946
517,0.9392652201919099
518,0.9083004327130557
519,0.8670140494079168
520,0.8257276661027779
521,0.8050844744502085
522,0.7947628786239238
523,0.7431548994925001
524,0.6915469203610766
525,0.6089741537507987
526,0.5057581954879514
527,0.4231854288776737
528,0.3406126622673959
529,0.2890046831359723
530,0.2580398956571181
531,0.23739670400454865
532,0.22707510817826393
533,0.2167535123519792
534,0.2167535123519792
535,0.20643191652569448
536,0.20643191652569448
537,0.2167535123519792
538,0.22707510817826393
539,0.24771829983083338
540,0.31996947061482645
541,0.40254223722510424
542,0.5367229829668057
543,0.6502605370559377
544,0.6399389412296529
545,0.5883309620982292
546,0.5367229829668057
547,0.5160797913142362
548,0.5057581954879514
549,0.49543659966166675
550,0.48511500383538203
551,0.48511500383538203
552,0.5057581954879514
553,0.5057581954879514
554,0.48511500383538203
555,0.4644718121828126
556,0.45415021635652786
557,0.4747934080090973
558,0.48511500383538203
559,0.5470445787930904
560,0.6605821328822223
561,0.8050844744502085
562,0.9186220285393405
563,0.9495868160181946
564,0.9495868160181946
565,0.9392652201919099
566,0.9083004327130557
567,0.8670140494079168
568,0.8257276661027779
569,0.8050844744502085
570,0.7947628786239238
571,0.7431548994925001
572,0.6915469203610766
573,0.6089741537507987
574,0.5057581954879514
575,0.4231854288776737
576,0.40254223722510424
577,0.33029106644111117
578,0.2890046831359723
579,0.2580398956571181
580,0.23739670400454865
581,0.22707510817826393
582,0.2167535123519792
583,0.2167535123519792
584,0.2167535123519792
585,0.2167535123519792
586,0.22707510817826393
587,0.23739670400454865
588,0.27868308730968755
589,0.33029106644111117
590,0.40254223722510424
591,0.4747934080090973
592,0.526401387140521
593,0.5780093662719445
594,0.5883309620982292
595,0.5883309620982292
596,0.5883309620982292
597,0.5883309620982292
598,0.5780093662719445
599,0.5780093662719445
600,0.6089741537507987
601,0.6089741537507987
602,0.598652557924514
603,0.5573661746193751
604,0.5367229829668057
605,0.5470445787930904
606,0.5470445787930904
607,0.5780093662719445
608,0.6502605370559377
609,0.7534764953187848
610,0.856692453581632
611,0.9186220285393405
612,0.9186220285393405
613,0.9289436243656252
614,0.9186220285393405
615,0.8670140494079168
616,0.8257276661027779
617,0.7637980911450696
618,0.7534764953187848
619,0.7121901120136459
620,0.6605821328822223
621,0.6089741537507987
622,0.5367229829668057
623,0.4747934080090973
624,0.4231854288776737
625,0.3509342580936806
626,0.3096478747885417
627,0.27868308730968755
628,0.2580398956571181
629,0.23739670400454865
630,0.22707510817826393
631,0.2167535123519792
632,0.2167535123519792
633,0.2167535123519792
634,0.2167535123519792
635,0.22707510817826393
636,0.24771829983083338
637,0.27868308730968755
638,0.31996947061482645
639,0.3922206413988195
640,0.45415021635652786
641,0.5470445787930904
642,0.598652557924514
643,0.6399389412296529
644,0.7018685161873612
645,0.7225117078399307
646,0.7534764953187848
647,0.7637980911450696
648,0.7947628786239238
649,0.7947628786239238
650,0.7637980911450696
651,0.7018685161873612
652,0.6502605370559377
653,0.6502605370559377
654,0.6605821328822223
655,0.6709037287085071
656,0.7431548994925001
657,0.8154060702764933
658,0.8876572410604863
659,0.9289436243656252
660,0.9495868160181946
661,0.9289436243656252
662,0.9083004327130557
663,0.8773356452342015
664,0.8463708577553474
665,0.8050844744502085
666,0.7947628786239238
667,0.7431548994925001
668,0.6915469203610766
669,0.6192957495770834
670,0.5160797913142362
671,0.4335070247039584
672,0.3406126622673959
673,0.2890046831359723
674,0.2580398956571181
675,0.23739670400454865
676,0.22707510817826393
677,0.2167535123519792
678,0.2167535123519792
679,0.20643191652569448
680,0.20643191652569448
681,0.2167535123519792
682,0.22707510817826393
683,0.24771829983083338
684,0.31996947061482645
685,0.40254223722510424
686,0.5367229829668057
687,0.6502605370559377
688,0.6399389412296529
689,0.5883309620982292
690,0.5367229829668057
691,0.5160797913142362
692,0.5057581954879514
693,0.49543659966166675
694,0.48511500383538203
695,0.48511500383538203
696,0.5057581954879514
697,0.5057581954879514
698,0.48511500383538203
699,0.4644718121828126
700,0.45415021635652786
701,0.4747934080090973
702,0.48511500383538203
703,0.5470445787930904
704,0.6605821328822223
705,0.8050844744502085
706,0.9186220285393405
707,0.9495868160181946
708,0.9495868160181946
709,0.9392652201919099
710,0.9083004327130557
711,0.8670140494079168
712,0.8257276661027779
713,0.8050844744502085
714,0.7947628786239238
715,0.7431548994925001
716,0.6915469203610766
717,0.6089741537507987
718,0.5057581954879514
719,0.4231854288776737
720,0.3406126622673959
721,0.2890046831359723
722,0.2580398956571181
723,0.23739670400454865
724,0.22707510817826393
725,0.2167535123519792
726,0.2167535123519792
727,0.20643191652569448
728,0.20643191652569448
729,0.2167535123519792
730,0.22707510817826393
731,0.24771829983083338
732,0.31996947061482645
733,0.40254223722510424
734,0.5367229829668057
735,0.6502605370559377
736,0.6399389412296529
737,0.5883309620982292
738,0.5367229829668057
739,0.5160797913142362
740,0.5057581954879514
741,0.49543659966166675
742,0.48511500383538203
743,0.48511500383538203
744,0.5057581954879514
745,0.5057581954879514
746,0.48511500383538203
747,0.4644718121828126
748,0.45415021635652786
749,0.4747934080090973
750,0.48511500383538203
751,0.5470445787930904
752,0.6605821328822223
753,0.8050844744502085
754,0.9186220285393405
755,0.9495868160181946
756,0.9495868160181946
757,0.9392652201919099
758,0.9083004327130557
759,0.8670140494079168
760,0.8257276661027779
761,0.8050844744502085
762,0.7947628786239238
763,0.7431548994925001
764,0.6915469203610766
765,0.6089741537507987
766,0.5057581954879514
767,0.4231854288776737
768,0.3406126622673959
769,0.2890046831359723
770,0.2580398956571181
771,0.23739670400454865
772,0.22707510817826393
773,0.2167535123519792
774,0.2167535123519792
775,0.20643191652569448
776,0.20643191652569448
777,0.2167535123519792
