,Charging Power (kW)
673,0.9700586405830594
674,1.0737545642315933
675,1.1339651005436453
676,1.1440001899289873
677,0.9031580446807795
678,0.7526317039006495
679,0.5418948268084677
680,0.4214737541843637
681,0.3010526815602598
682,0.21073687709218186
683,0.12042107262410393
684,0.07827369720566754
685,0.06021053631205196
686,0.01806316089361559
687,0.01505263407801299
688,0.006021053631205197
689,0.0030105268156025984
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.45157902234038977
719,0.6021053631205197
720,0.8429475083687274
721,0.9700586405830594
722,1.0737545642315933
723,1.1339651005436453
724,1.1440001899289873
725,0.9031580446807795
726,0.7526317039006495
727,0.5418948268084677
728,0.4214737541843637
729,0.3010526815602598
730,0.21073687709218186
731,0.12042107262410393
732,0.07827369720566754
733,0.06021053631205196
734,0.01806316089361559
735,0.01505263407801299
736,0.006021053631205197
737,0.0030105268156025984
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.45157902234038977
767,0.6021053631205197
768,0.8429475083687274
769,0.9700586405830594
770,1.0737545642315933
771,1.1339651005436453
772,1.1440001899289873
773,0.9031580446807795
774,0.7526317039006495
775,0.5418948268084677
776,0.4214737541843637
777,0.3010526815602598
778,0.21073687709218186
779,0.12042107262410393
780,0.07827369720566754
781,0.06021053631205196
782,0.01806316089361559
783,0.01505263407801299
784,0.006021053631205197
785,0.0030105268156025984
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.45157902234038977
815,0.6021053631205197
816,0.8429475083687274
817,0.9700586405830594
818,1.0737545642315933
819,1.1339651005436453
820,1.1440001899289873
821,0.9031580446807795
822,0.7526317039006495
823,0.5418948268084677
824,0.4214737541843637
825,0.3010526815602598
826,0.21073687709218186
827,0.12042107262410393
828,0.07827369720566754
829,0.06021053631205196
830,0.01806316089361559
831,0.01505263407801299
832,0.006021053631205197
833,0.0030105268156025984
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.45157902234038977
863,0.6021053631205197
864,0.8429475083687274
865,0.9700586405830594
866,1.0737545642315933
867,1.1339651005436453
868,1.1440001899289873
869,0.9031580446807795
870,0.7526317039006495
871,0.5418948268084677
872,0.4214737541843637
873,0.3010526815602598
874,0.21073687709218186
875,0.12042107262410393
876,0.07827369720566754
877,0.06021053631205196
878,0.01806316089361559
879,0.01505263407801299
880,0.006021053631205197
881,0.0030105268156025984
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.45157902234038977
911,0.6021053631205197
912,0.8429475083687274
913,0.9700586405830594
914,1.0737545642315933
915,1.1339651005436453
916,1.1440001899289873
917,0.9031580446807795
918,0.7526317039006495
919,0.5418948268084677
920,0.4214737541843637
921,0.3010526815602598
922,0.21073687709218186
923,0.12042107262410393
924,0.07827369720566754
925,0.06021053631205196
926,0.01806316089361559
927,0.01505263407801299
928,0.006021053631205197
929,0.0030105268156025984
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.45157902234038977
959,0.6021053631205197
960,0.8429475083687274
961,0.9700586405830594
962,1.0737545642315933
963,1.1339651005436453
964,1.1440001899289873
965,0.9031580446807795
